SKU,PRODUCTO,CATEGORIA,PRECIO VENTA,KG / UNIDAD,MARCA,STOCK,COSTO,FRACCIONAMIENTO
,Almendra Guara,FRUTOS SECOS / FRUTAS DESECADAS,19200,KG,,-,,"100g, 250g, 500g"
,Almendra pelada Non Pareil,FRUTOS SECOS / FRUTAS DESECADAS,20200,KG ,,-,,"100g, 250g, 500g"
,Ananá en Cubos de Tailandia,FRUTOS SECOS / FRUTAS DESECADAS,17800,KG ,,-,,"100g, 250g, 500g"
,Arándanos rojos deshidratados,FRUTOS SECOS / FRUTAS DESECADAS,15000,KG ,,-,,"100g, 250g, 500g"
,Avellanas repeladas grandes,FRUTOS SECOS / FRUTAS DESECADAS,27800,KG ,,-,,"100g, 250g, 500g"
,Castañas de Cajú W4 Natural sin sal,FRUTOS SECOS / FRUTAS DESECADAS,15600,KG ,,-,,"100g, 250g, 500g"
,Chips de bananas en rodajas,FRUTOS SECOS / FRUTAS DESECADAS,10520,KG ,,-,,"100g, 250g, 500g"
,Ciruelas D'Agen S/ Carozo,FRUTOS SECOS / FRUTAS DESECADAS,5670,KG ,,-,,"100g, 250g, 500g"
,Damasco S/ Carozo mediano,FRUTOS SECOS / FRUTAS DESECADAS,7500,KG ,,-,,"100g, 250g, 500g"
,Dátiles de Egipto C/ Carozo,FRUTOS SECOS / FRUTAS DESECADAS,9240,KG ,,-,,"100g, 250g, 500g"
,Garrapiñada de Maní,FRUTOS SECOS / FRUTAS DESECADAS,5300,KG ,,-,,"100g, 250g, 500g"
,Higos negros tiernizados,FRUTOS SECOS / FRUTAS DESECADAS,7500,KG ,,-,,"100g, 250g, 500g"
,Jengibre glaseado en cubo o lonjitas,FRUTOS SECOS / FRUTAS DESECADAS,19400,KG ,,-,,"100g, 250g, 500g"
,Maiz frito sabor tradicional,FRUTOS SECOS / FRUTAS DESECADAS,12180,KG ,,-,,"100g, 250g, 500g"
,Maní  japonés PREMIUM,FRUTOS SECOS / FRUTAS DESECADAS,5300,KG ,,-,,"100g, 250g, 500g"
,Maní con cáscara,FRUTOS SECOS / FRUTAS DESECADAS,5300,KG ,,-,,"100g, 250g, 500g"
,Maní repelado con sal PREMIUM,FRUTOS SECOS / FRUTAS DESECADAS,4600,KG ,,-,,"100g, 250g, 500g"
,Maní repelado sin sal PREMIUM,FRUTOS SECOS / FRUTAS DESECADAS,4600,KG ,,-,,"100g, 250g, 500g"
,Medallón de Durazno,FRUTOS SECOS / FRUTAS DESECADAS,9860,KG ,,-,,"100g, 250g, 500g"
,Naranja en gajos glaseada Sin stock,FRUTOS SECOS / FRUTAS DESECADAS,0,KG ,,0,,"100g, 250g, 500g"
,Nuez con Cáscara Chandler Extra Light,FRUTOS SECOS / FRUTAS DESECADAS,10560,KG ,,-,,"100g, 250g, 500g"
,Nuez pelada Mariposa Chandler Extra Light,FRUTOS SECOS / FRUTAS DESECADAS,25600,KG ,,-,,"100g, 250g, 500g"
,Papaya en cubos,FRUTOS SECOS / FRUTAS DESECADAS,18000,KG ,,-,,"100g, 250g, 500g"
,Pasas Rojas Jumbo  sin semillas,FRUTOS SECOS / FRUTAS DESECADAS,9440,KG ,,-,,"100g, 250g, 500g"
,Pasas de Uva Jumbo sin semillas SIN STOCK,FRUTOS SECOS / FRUTAS DESECADAS,7340,KG ,,-,,"100g, 250g, 500g"
,Pasas de Uva Morenas Flame sin semillas,FRUTOS SECOS / FRUTAS DESECADAS,5040,KG ,,-,,"100g, 250g, 500g"
,Pasas de Uva Rubias Premium,FRUTOS SECOS / FRUTAS DESECADAS,10000,KG ,,-,,"100g, 250g, 500g"
,Peras en mitades desecadas,FRUTOS SECOS / FRUTAS DESECADAS,12600,KG ,,-,,"100g, 250g, 500g"
,Pistachos con cáscara tostados y salados,FRUTOS SECOS / FRUTAS DESECADAS,35600,KG ,,-,,"100g, 250g, 500g"
,Tomates deshidratados,FRUTOS SECOS / FRUTAS DESECADAS,16560,KG ,,-,,"100g, 250g, 500g"
,Con pulpa de Ananá parcialmente descremado,YOGURT,0,UNIDAD,,0,0,
,Con pulpa de Durazno,YOGURT,3800,UNIDAD,,-,0,
,Con pulpa de Frutilla parcialmente descremado con azúcar,YOGURT,3800,UNIDAD,,0,0,
,Natural descremado sin azúcar,YOGURT,3800,UNIDAD,,-,0,
,Natural entero Tipo Griego con azúcar,YOGURT,3800,UNIDAD,,-,0,
,Alfajor Integral de Dulce de Leche Sin Azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES,0,UNIDAD,Murke,0,,
,Alfajor Integral de Dulce de Leche Sin Azúcar Bañado en Chocolate,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES,0,UNIDAD,Murke,0,,
,Alfajor de Dulce de Leche Sin Azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES,0,UNIDAD,CERRO AZUL,0,,
,Alfajor de Mousse Chocolate 100 %  Sin azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES,0,UNIDAD,CERRO AZUL,0,,
,Alfajor de Mousse Chocolate 100 % vegano  / Sin azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES,0,UNIDAD,CERRO AZUL,0,,
,Alfajor de Mousse Fresas 100 % Vegano / Sin azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES,0,UNIDAD,CERRO AZUL,0,,
,Alfajor de Mousse Limón 100 % Vegano / Sin azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES,0,UNIDAD,CERRO AZUL,0,,
,Alfajor de Mousse Vainilla 100 % Vegano / Sin azúcar,ALFAJORES SIN TACC S/TACC x 50 grs  / ALFAJORES INTEGRALES,0,UNIDAD,CERRO AZUL,0,,
,Galletas Light Algarroba  x  180 grs S/ Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES,1935,UNIDAD,,-,,
,Galletas Light Chía/ Sésamo/ Lino  x 190 grs S/Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES,1935,UNIDAD,,-,,
,Galletas Light Coco  x 180 grs S/ Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES,1935,UNIDAD,,-,,
,Galletas Light Frutos Rojos con Arándonos x 170 grs S/Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES,1942,UNIDAD,,-,,
,Galletas Light Limón x 180 grs S/ Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES,1935,UNIDAD,,-,,
,Galletas Light Naranja x 180 grs S/Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES,1935,UNIDAD,,-,,
,Galletas Light Vainilla  x 180 grs S/ Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES,1935,UNIDAD,,-,,
,Galletas Light c/Pasas x 175 grs S/Azúcar,GALLETAS SALUDABLES SIN AZÚCAR / COOKIES SALUDABLES,1935,UNIDAD,,-,,
,Barritas de arroz x 20 grs ( Tradicional / Miel / Chocolate ),TOSTADAS  / DISCOS DE ARROZ / BARRAS  S/TACC,600,UNIDAD,,-,,
,Discos de arroz x 60 grs ( Tradicional / Miel / Chocolate ),TOSTADAS  / DISCOS DE ARROZ / BARRAS  S/TACC,1485,UNIDAD,,-,,
,Tostaditas de arroz x 120 grs,TOSTADAS  / DISCOS DE ARROZ / BARRAS  S/TACC,1780,UNIDAD,,-,,
,MIX 1 sin maní (Nueces/ Almendras / Pasas Morenas/ Rubias),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,16732,KG,,-,,"250g, 500g"
,MIX 2 (Nueces/ Almendras / Pasas Morenas/Rubias /Maní sin sal ),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,14396,KG,,-,,"250g, 500g"
,MIX ARAUCANO(Nueces/Almendras/ Castañas de Cajú /Maní s/sal /Banana Chips),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,14912,KG,,-,,"250g, 500g"
,MIX PATAGÓNICO(Arándanos/Pasas Negras /Rubias/Coco en escamas/Nueces/Castañas/Almendras),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,16460,KG,,-,,"250g, 500g"
,"MIX POWER UP ( Almendras, Nueces ,Chips de Banana ,Pasas negras , Maní s/sal y Girasol )",MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,12728,KG,,-,,"250g, 500g"
,"MIX POWER UP + GOTITAS DE CHOCOLATE NEGRO ( Almendras, Nueces ,Chips de Banana ,Pasas negras , Maní s/sal y Girasol + chips de choco negro )",MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,13926,KG,,-,,"250g, 500g"
,MIX PREMIUM (Nueces/ Almendras / Pasas Morenas/Rubias /Castañas / Avellanas),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,19110,KG,,-,,"250g, 500g"
,MIX SUPER PREMIUM (Nueces / Almendras /Castañas / Avellanas),MIX DE FRUTOS SECOS | FRUTAS DESECADAS| CEREALES,24530,KG,,-,,"250g, 500g"
