,PRODUCTO,CATEGORIA,PRECIO VENTA,KG / UNIDAD,MARCA,STOCK
,Almendra pelada Non Pareil,FRUTOS SECOS / FRUTAS DESECADAS,$20.200,KG ,,-
,Almendra Guara,FRUTOS SECOS / FRUTAS DESECADAS,$19.000,KG,,-
,Ananá en Cubos de Tailandia,FRUTOS SECOS / FRUTAS DESECADAS,$17.800,KG ,,-
,Arándanos rojos deshidratados,FRUTOS SECOS / FRUTAS DESECADAS,$15.000,KG ,,-
,Avellanas repeladas grandes,FRUTOS SECOS / FRUTAS DESECADAS,$27.800,KG ,,-
,Chips de bananas en rodajas,FRUTOS SECOS / FRUTAS DESECADAS,$10.520,KG ,,-
,Castañas de Cajú w4  natural sin sal,FRUTOS SECOS / FRUTAS DESECADAS,$15.600,KG ,,-
,Ciruelas D'Agen S/ Carozo,FRUTOS SECOS / FRUTAS DESECADAS,$5.670,KG ,,-
,Dátiles de Egipto C/ Carozo,FRUTOS SECOS / FRUTAS DESECADAS,$9.240,KG ,,-
,Damasco S/ Carozo mediano,FRUTOS SECOS / FRUTAS DESECADAS,$7.500,KG ,,-
,Medallón de Durazno,FRUTOS SECOS / FRUTAS DESECADAS,$9.860,KG ,,-
,Higos negros tiernizados,FRUTOS SECOS / FRUTAS DESECADAS,$7.500,KG ,,-
,Jengibre glaseado en cubo o lonjitas,FRUTOS SECOS / FRUTAS DESECADAS,$19.400,KG ,,-
,Maiz frito sabor tradicional,FRUTOS SECOS / FRUTAS DESECADAS,$12.180,KG ,,-
,Maní repelado sin sal PREMIUM,FRUTOS SECOS / FRUTAS DESECADAS,$4.600,KG ,,-
,Maní repelado con sal PREMIUM,FRUTOS SECOS / FRUTAS DESECADAS,$4.600,KG ,,-
,Maní con cáscara,FRUTOS SECOS / FRUTAS DESECADAS,$5.300,KG ,,-
,Garrapiñada de Maní,FRUTOS SECOS / FRUTAS DESECADAS,$5.300,KG ,,-
,Maní  japonés PREMIUM,FRUTOS SECOS / FRUTAS DESECADAS,$5.300,KG ,,-
,Naranja en gajos glaseada Sin stock,FRUTOS SECOS / FRUTAS DESECADAS,$0,KG ,,0
,Nuez pelada Mariposa Chandler Extra Light,FRUTOS SECOS / FRUTAS DESECADAS,$25.600,KG ,,-
,Nuez con Cáscara Chandler Extra Light,FRUTOS SECOS / FRUTAS DESECADAS,$10.560,KG ,,-
,Pasas de Uva Morenas Flame sin semillas,FRUTOS SECOS / FRUTAS DESECADAS,$5.040,KG ,,-
,Pasas de Uva Jumbo sin semillas SIN STOCK,FRUTOS SECOS / FRUTAS DESECADAS,$7.340,KG ,,-
,Pasas de Uva Rubias Premium,FRUTOS SECOS / FRUTAS DESECADAS,$10.000,KG ,,-
,Pasas Rojas Jumbo  sin semillas,FRUTOS SECOS / FRUTAS DESECADAS,$9.440,KG ,,-
,Papaya en cubos,FRUTOS SECOS / FRUTAS DESECADAS,$18.000,KG ,,-
,Peras en mitades desecadas,FRUTOS SECOS / FRUTAS DESECADAS,$12.600,KG ,,-
,Pistachos con cáscara tostados y salados,FRUTOS SECOS / FRUTAS DESECADAS,$35.600,KG ,,-
,Tomates deshidratados,FRUTOS SECOS / FRUTAS DESECADAS,$16.560,KG ,,-
,Con pulpa de Frutilla parcialmente descremado con azúcar,YOGURT ,$0,UNIDAD,,0
