Identificador de URL,Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Nombre de propiedad 2,Valor de propiedad 2,Nombre de propiedad 3,Valor de propiedad 3,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,MPN (Número de pieza del fabricante),Sexo,Rango de edad,Costo
almendra-pelada-non-pareil,Almendra pelada Non Pareil,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,250g,,,,,5050.0,,0.25,0,0,0,-,FRU-ALME-250G,,SÍ,SÍ,Descripción corta de Almendra pelada Non Pareil,almendra pelada non pareil,Almendra pelada Non Pareil 250g - FRUTOS SECOS / FRUTAS DESECADAS,Compra Almendra pelada Non Pareil en presentación de 250g. Envío sin cargo.,nan,SÍ,,Unisex,,5050.0
almendra-pelada-non-pareil,Almendra pelada Non Pareil,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,500g,,,,,10100.0,,0.5,0,0,0,-,FRU-ALME-500G,,SÍ,SÍ,Descripción corta de Almendra pelada Non Pareil,almendra pelada non pareil,Almendra pelada Non Pareil 500g - FRUTOS SECOS / FRUTAS DESECADAS,Compra Almendra pelada Non Pareil en presentación de 500g. Envío sin cargo.,nan,SÍ,,Unisex,,10100.0
almendra-pelada-non-pareil,Almendra pelada Non Pareil,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,1kg,,,,,20200.0,,1.0,0,0,0,-,FRU-ALME-1KG,,SÍ,SÍ,Descripción corta de Almendra pelada Non Pareil,almendra pelada non pareil,Almendra pelada Non Pareil 1kg - FRUTOS SECOS / FRUTAS DESECADAS,Compra Almendra pelada Non Pareil en presentación de 1kg. Envío sin cargo.,nan,SÍ,,Unisex,,20200.0
almendra-guara,Almendra Guara,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,250g,,,,,4750.0,,0.25,0,0,0,-,FRU-ALME-250G2,,SÍ,SÍ,Descripción corta de Almendra Guara,almendra guara,Almendra Guara 250g - FRUTOS SECOS / FRUTAS DESECADAS,Compra Almendra Guara en presentación de 250g. Envío sin cargo.,nan,SÍ,,Unisex,,4750.0
almendra-guara,Almendra Guara,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,500g,,,,,9500.0,,0.5,0,0,0,-,FRU-ALME-500G2,,SÍ,SÍ,Descripción corta de Almendra Guara,almendra guara,Almendra Guara 500g - FRUTOS SECOS / FRUTAS DESECADAS,Compra Almendra Guara en presentación de 500g. Envío sin cargo.,nan,SÍ,,Unisex,,9500.0
almendra-guara,Almendra Guara,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,1kg,,,,,19000.0,,1.0,0,0,0,-,FRU-ALME-1KG2,,SÍ,SÍ,Descripción corta de Almendra Guara,almendra guara,Almendra Guara 1kg - FRUTOS SECOS / FRUTAS DESECADAS,Compra Almendra Guara en presentación de 1kg. Envío sin cargo.,nan,SÍ,,Unisex,,19000.0
anana-en-cubos-de-tailandia,Ananá en Cubos de Tailandia,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,250g,,,,,4450.0,,0.25,0,0,0,-,FRU-ANAN-250G,,SÍ,SÍ,Descripción corta de Ananá en Cubos de Tailandia,anana en cubos de tailandia,Ananá en Cubos de Tailandia 250g - FRUTOS SECOS / FRUTAS DESECADAS,Compra Ananá en Cubos de Tailandia en presentación de 250g. Envío sin cargo.,nan,SÍ,,Unisex,,4450.0
anana-en-cubos-de-tailandia,Ananá en Cubos de Tailandia,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,500g,,,,,8900.0,,0.5,0,0,0,-,FRU-ANAN-500G,,SÍ,SÍ,Descripción corta de Ananá en Cubos de Tailandia,anana en cubos de tailandia,Ananá en Cubos de Tailandia 500g - FRUTOS SECOS / FRUTAS DESECADAS,Compra Ananá en Cubos de Tailandia en presentación de 500g. Envío sin cargo.,nan,SÍ,,Unisex,,8900.0
anana-en-cubos-de-tailandia,Ananá en Cubos de Tailandia,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,1kg,,,,,17800.0,,1.0,0,0,0,-,FRU-ANAN-1KG,,SÍ,SÍ,Descripción corta de Ananá en Cubos de Tailandia,anana en cubos de tailandia,Ananá en Cubos de Tailandia 1kg - FRUTOS SECOS / FRUTAS DESECADAS,Compra Ananá en Cubos de Tailandia en presentación de 1kg. Envío sin cargo.,nan,SÍ,,Unisex,,17800.0
arandanos-rojos-deshidratados,Arándanos rojos deshidratados,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,250g,,,,,3750.0,,0.25,0,0,0,-,FRU-ARÁN-250G,,SÍ,SÍ,Descripción corta de Arándanos rojos deshidratados,arandanos rojos deshidratados,Arándanos rojos deshidratados 250g - FRUTOS SECOS / FRUTAS DESECADAS,Compra Arándanos rojos deshidratados en presentación de 250g. Envío sin cargo.,nan,SÍ,,Unisex,,3750.0
arandanos-rojos-deshidratados,Arándanos rojos deshidratados,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,500g,,,,,7500.0,,0.5,0,0,0,-,FRU-ARÁN-500G,,SÍ,SÍ,Descripción corta de Arándanos rojos deshidratados,arandanos rojos deshidratados,Arándanos rojos deshidratados 500g - FRUTOS SECOS / FRUTAS DESECADAS,Compra Arándanos rojos deshidratados en presentación de 500g. Envío sin cargo.,nan,SÍ,,Unisex,,7500.0
arandanos-rojos-deshidratados,Arándanos rojos deshidratados,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,1kg,,,,,15000.0,,1.0,0,0,0,-,FRU-ARÁN-1KG,,SÍ,SÍ,Descripción corta de Arándanos rojos deshidratados,arandanos rojos deshidratados,Arándanos rojos deshidratados 1kg - FRUTOS SECOS / FRUTAS DESECADAS,Compra Arándanos rojos deshidratados en presentación de 1kg. Envío sin cargo.,nan,SÍ,,Unisex,,15000.0
avellanas-repeladas-grandes,Avellanas repeladas grandes,FRUTOS SECOS / FRUTAS DESECADAS,Fraccionamiento,250g,,,,,6950.0,,0.25,0,0,0,-,FRU-AVEL-250G,,SÍ,SÍ,Descripción corta de Avellanas repeladas grandes,avellanas repeladas grandes,Avellanas repeladas grandes 250g - FRUTOS SECOS / FRUTAS DESECADAS,Compra Avellanas repeladas grandes en presentación de 250g. Envío sin cargo.,nan,SÍ,,Unisex,,6950.0
